G,Date,Start (ET),,,Opponent,,,Tm,Opp,W,L,Streak,Notes
34,"Sat, Dec 22, 2018",7:30p,Box Score,,Toronto Raptors,W,,126,101,22,12,W 2,
35,"Tue, Dec 25, 2018",5:30p,Box Score,@,Boston Celtics,L,OT,114,121,22,13,L 1,
36,"Thu, Dec 27, 2018",10:30p,Box Score,@,Utah Jazz,W,,114,97,23,13,W 1,
37,"Sun, Dec 30, 2018",9:00p,Box Score,@,Portland Trail Blazers,L,,95,129,23,14,L 1,
38,"Tue, Jan 1, 2019",10:30p,Box Score,@,Los Angeles Clippers,W,,119,113,24,14,W 1,
39,"Wed, Jan 2, 2019",9:00p,Box Score,@,Phoenix Suns,W,,132,127,25,14,W 2,
40,"Sat, Jan 5, 2019",7:30p,Box Score,,Dallas Mavericks,W,,106,100,26,14,W 3,
41,"Tue, Jan 8, 2019",7:00p,Box Score,,Washington Wizards,W,,132,115,27,14,W 4,
42,"Wed, Jan 9, 2019",7:00p,Box Score,@,Washington Wizards,L,,106,123,27,15,L 1,
43,"Fri, Jan 11, 2019",7:00p,Box Score,,Atlanta Hawks,L,,121,123,27,16,L 2,
44,"Sun, Jan 13, 2019",1:00p,Box Score,@,New York Knicks,W,,108,105,28,16,W 1,
45,"Tue, Jan 15, 2019",7:00p,Box Score,,Minnesota Timberwolves,W,,149,107,29,16,W 2,
46,"Thu, Jan 17, 2019",7:00p,Box Score,@,Indiana Pacers,W,,120,96,30,16,W 3,
47,"Sat, Jan 19, 2019",3:30p,Box Score,,Oklahoma City Thunder,L,,115,117,30,17,L 1,
48,"Mon, Jan 21, 2019",8:00p,Box Score,,Houston Rockets,W,,121,93,31,17,W 1,
49,"Wed, Jan 23, 2019",8:00p,Box Score,,San Antonio Spurs,W,,122,120,32,17,W 2,
50,"Sat, Jan 26, 2019",9:00p,Box Score,@,Denver Nuggets,L,,110,126,32,18,L 1,
51,"Tue, Jan 29, 2019",10:30p,Box Score,@,Los Angeles Lakers,W,,121,105,33,18,W 1,
52,"Thu, Jan 31, 2019",10:30p,Box Score,@,Golden State Warriors,W,,113,104,34,18,W 2,
53,"Sat, Feb 2, 2019",10:00p,Box Score,@,Sacramento Kings,L,,108,115,34,19,L 1,
54,"Tue, Feb 5, 2019",8:00p,Box Score,,Toronto Raptors,L,,107,119,34,20,L 2,
55,"Fri, Feb 8, 2019",7:00p,Box Score,,Denver Nuggets,W,,117,110,35,20,W 1,
56,"Sun, Feb 10, 2019",3:30p,Box Score,,Los Angeles Lakers,W,,143,120,36,20,W 2,
57,"Tue, Feb 12, 2019",8:00p,Box Score,,Boston Celtics,L,,109,112,36,21,L 1,
58,"Wed, Feb 13, 2019",7:30p,Box Score,@,New York Knicks,W,,126,111,37,21,W 1,
59,"Thu, Feb 21, 2019",7:00p,Box Score,,Miami Heat,W,,106,102,38,21,W 2,
60,"Sat, Feb 23, 2019",1:00p,Box Score,,Portland Trail Blazers,L,,115,130,38,22,L 1,
61,"Mon, Feb 25, 2019",8:00p,Box Score,@,New Orleans Pelicans,W,,111,110,39,22,W 1,
62,"Thu, Feb 28, 2019",8:00p,Box Score,@,Oklahoma City Thunder,W,,108,104,40,22,W 2,
63,"Sat, Mar 2, 2019",8:30p,Box Score,,Golden State Warriors,L,,117,120,40,23,L 1,
64,"Tue, Mar 5, 2019",7:00p,Box Score,,Orlando Magic,W,,114,106,41,23,W 1,
65,"Wed, Mar 6, 2019",8:00p,Box Score,@,Chicago Bulls,L,,107,108,41,24,L 1,
66,"Fri, Mar 8, 2019",8:00p,Box Score,@,Houston Rockets,L,,91,107,41,25,L 2,
67,"Sun, Mar 10, 2019",3:30p,Box Score,,Indiana Pacers,W,,106,89,42,25,W 1,
68,"Tue, Mar 12, 2019",7:00p,Box Score,,Cleveland Cavaliers,W,,106,99,43,25,W 2,
69,"Fri, Mar 15, 2019",7:00p,Box Score,,Sacramento Kings,W,,123,114,44,25,W 3,
70,"Sun, Mar 17, 2019",3:30p,Box Score,@,Milwaukee Bucks,W,,130,125,45,25,W 4,
71,"Tue, Mar 19, 2019",7:00p,Box Score,@,Charlotte Hornets,W,,118,114,46,25,W 5,
72,"Wed, Mar 20, 2019",7:00p,Box Score,,Boston Celtics,W,,118,115,47,25,W 6,
